"","glm","rf","xgbTree","nnet"
"AUC",0.655679541967044,0.792579099369417,0.800012578421384,0.801445325293254
"balAccuracy",0.5,0.716897146538275,0.719027170616808,0.72777954398539
"EMP",0.184742816696183,0.186259782602811,0.186536896145128,0.186411867580914
"acceptedLoans",0.590184401416698,0.59863487409394,0.60129127278675,0.601626777006739
"profit",11104876.3984,20251455.1844,24855924.7012,27200805.1512
"profitPerLoan",1572.92866832861,2868.47807144476,3520.66922113314,3852.80526220963
"profitPerEUR",0.0353956078798595,0.0645493512027608,0.0792256061797996,0.0866996622571196
"statParityDiff",0,0.106031421855788,0.101810510091412,0.196541331324598
"averageOddsDiff",0,0.0678906624950488,0.0597509405025929,0.142216416576242
"predParityDiff",NA,0.0297938607757513,0.0372986922882853,0.0259929520904478
