"","glm","rf","xgbTree","nnet"
"AUC",0.789002278054703,0.794384626938853,0.80190201788879,0.802326818387556
"balAccuracy",0.718633202861948,0.723032583798436,0.722199096115532,0.729469546337154
"EMP",0.186102698220877,0.186286356694465,0.18663833680544,0.186425476591146
"acceptedLoans",0.602025216775373,0.599732910628721,0.602338004472581,0.601754151283238
"profit",24846634.6486,19519389.1398,26180061.06,24160688.3002
"profitPerLoan",3519.35334966006,2764.78599713881,3708.22394617564,3422.19381022663
"profitPerEUR",0.0833760299868732,0.0622159688464695,0.0834461494487281,0.089486445218346
"statParityDiff",0.186574111903627,0.131204190403846,0.117098583298718,0.181028916080321
"averageOddsDiff",0.142144113747129,0.0871530174033692,0.0748958787704243,0.128167879664747
"predParityDiff",0.0160038093349949,0.0308855002171359,0.0320454867852462,0.0281151715601728
