"","V1"
"AUC",0.795647988863191
"balAccuracy",0.728196371459963
"EMP",0.186033857733981
"acceptedLoans",0.59995021864664
"profit",36807576.4882
"profitPerLoan",5213.53774620397
"profitPerEUR",0.0855084928154883
"statParityDiff",0.193585409742617
"averageOddsDiff",0.140921256335857
"predParityDiff",0.0232760515680823
