"","V1"
"AUC",0.790073785599692
"balAccuracy",0.721967320859807
"EMP",0.186066484863519
"acceptedLoans",0.601573162463569
"profit",38261324.4358
"profitPerLoan",5419.45105322946
"profitPerEUR",0.0888857267383123
"statParityDiff",0.0119513712236907
"averageOddsDiff",0.0295495959111813
"predParityDiff",0.0582463789270447
